application_id,target,mobile_number_valid,email_valid,fraud_flag,gender,marital_status,employment_type,industry,residential_status,region,application_channel,device_type,internal_product_flags,length_of_employment,monthly_income,residential_tenure,age,number_of_dependents,previous_applications,credit_history_months,payment_history_on_time_ratio,days_past_due_max,account_status,credit_limits_total,outstanding_balances_total,utilization_ratio,overdue_amounts_total,risk_grade,inquiry_count_6m,inquiry_amount_6m,num_open_accounts,num_closed_accounts,avg_account_age_months,max_credit_limit_single_account,recent_delinquency_flag
APP0000011,0,1,1,0,M,Single,Contractual,Manufacturing,Mortgaged,Others,Branch,Web,CC:0|SAV:1|PAY:0,0.9,93804,10.9,52,1,1,24,0.482,15,Delinquent,96785,8744,0.09,6995,C,2,72086,4,2,19,25238,0
APP0000012,1,1,0,0,F,Married,Self-Employed,Services,Rented,Cebu,Online,iOS,CC:0|SAV:0|PAY:1,2.1,46811,9.0,27,1,3,58,0.735,0,Current,112160,33834,0.302,0,B,2,22264,5,2,33,62207,0
APP0000013,0,1,0,0,F,Single,Unemployed,,Mortgaged,Others,Agent,Web,CC:0|SAV:0|PAY:0,3.8,24748,9.6,32,2,0,105,0.885,0,Current,56551,4549,0.08,0,A,1,30632,6,6,57,14345,0
APP0000014,0,1,0,0,M,Married,Salaried,Agriculture,Mortgaged,Others,Online,Web,CC:1|SAV:1|PAY:0,0.6,80573,8.4,36,4,2,42,0.618,15,Delinquent,121226,35708,0.295,1943,B,1,17370,6,2,26,52986,0
APP0000015,0,1,1,0,M,Single,Salaried,BPO,Owned,NCR,Branch,Android,CC:1|SAV:1|PAY:0,1.9,249659,10.7,30,0,0,34,0.49,60,Delinquent,98067,84175,0.858,14195,D,1,35191,5,4,22,32095,1
APP0000016,0,1,1,0,M,Single,Salaried,Healthcare,Family,NCR,Online,Web,CC:0|SAV:1|PAY:0,1.2,73289,2.4,39,1,0,51,0.161,30,Delinquent,47319,20362,0.43,3007,D,1,34166,4,4,33,17375,1
APP0000017,0,1,1,0,M,Single,Salaried,Healthcare,Family,Others,Kiosk,iOS,CC:1|SAV:0|PAY:0,4.1,62701,2.7,39,3,0,32,0.859,0,Current,162120,39111,0.241,0,A,0,33995,4,1,25,46130,0
APP0000018,0,1,1,0,F,Single,Salaried,BPO,Family,Others,MobileApp,Web,CC:1|SAV:1|PAY:1,10.1,26847,9.7,46,2,1,40,0.494,120,Delinquent,156685,22425,0.143,12951,E,0,73597,4,2,18,70488,1
APP0000019,0,1,1,0,M,Married,Salaried,Transport,Rented,Central Luzon,Online,Android,CC:1|SAV:1|PAY:0,0.7,19691,3.0,38,3,2,48,0.993,0,Current,84202,20960,0.249,0,A,0,44611,5,5,24,50140,0
APP0000020,0,1,1,0,M,Married,Salaried,Services,Rented,CALABARZON,Agent,Android,CC:0|SAV:0|PAY:0,0.8,16745,9.7,32,1,1,23,0.86,0,Current,71297,5987,0.084,0,B,2,20177,1,1,16,38031,0
APP0000021,0,1,1,0,F,Married,Salaried,Transport,Owned,Cebu,Branch,Web,CC:0|SAV:1|PAY:0,3.7,45424,7.3,41,1,2,76,0.947,0,Current,162820,9844,0.06,0,A,2,16290,5,4,41,77060,0
APP0000022,0,1,1,0,M,Single,Salaried,Services,Company-Provided,NCR,MobileApp,iOS,CC:0|SAV:1|PAY:1,2.4,31285,1.4,34,0,0,20,0.953,0,Current,74171,10302,0.139,0,A,0,32654,2,1,14,37275,0
APP0000023,0,1,1,0,M,Separated,Unemployed,,Rented,NCR,MobileApp,Android,CC:0|SAV:1|PAY:0,5.1,13789,7.5,31,2,1,19,0.862,0,Current,29789,4495,0.151,0,B,0,44138,5,2,16,15958,0
APP0000024,0,1,1,0,M,Married,Salaried,IT,Rented,CALABARZON,Online,Web,CC:0|SAV:1|PAY:1,1.4,102963,13.0,31,2,1,54,0.95,0,Current,130228,55433,0.426,0,A,1,143898,4,3,34,50661,0
APP0000025,1,1,1,0,M,Separated,Self-Employed,Services,Rented,NCR,Agent,Unknown,CC:0|SAV:0|PAY:0,3.1,68040,0.6,30,2,0,73,0.99,0,Current,64310,36739,0.571,0,B,2,13670,5,2,46,27449,0
APP0000026,0,1,1,0,F,Single,Salaried,IT,Family,CALABARZON,Online,iOS,CC:1|SAV:1|PAY:0,2.0,53589,4.8,42,2,2,53,0.757,0,Current,83217,4045,0.049,0,A,0,49550,6,2,32,46451,0
APP0000027,0,1,1,0,M,Single,Unemployed,,Owned,Others,Branch,Web,CC:1|SAV:1|PAY:0,1.3,18736,3.3,42,2,1,45,0.789,0,Current,238958,200372,0.839,0,B,1,21798,5,3,23,114312,0
APP0000028,0,0,1,0,M,Single,Contractual,Services,Owned,Others,Kiosk,iOS,CC:0|SAV:1|PAY:1,5.2,30455,2.7,36,0,0,40,0.854,0,Current,83812,4142,0.049,0,A,1,105866,3,2,23,21323,0
APP0000029,0,1,1,0,F,Married,Self-Employed,Healthcare,Rented,Others,Online,Android,CC:1|SAV:1|PAY:0,6.4,47818,3.6,31,1,0,36,0.932,0,Current,94173,11482,0.122,0,A,1,23891,4,2,22,48199,0
APP0000030,0,1,1,0,M,Single,Self-Employed,Retail,Family,Others,Online,Android,CC:1|SAV:0|PAY:0,1.6,28940,4.8,35,0,0,86,0.816,0,Current,145460,53746,0.369,0,A,1,70563,5,2,47,30413,0
APP0000031,0,1,1,0,F,Single,Salaried,Construction,Rented,CALABARZON,Online,Web,CC:1|SAV:1|PAY:1,3.9,69551,10.0,28,1,1,58,0.833,0,Current,127098,39416,0.31,0,A,0,156293,3,3,34,68507,0
APP0000032,0,1,1,0,M,Single,Student,,Mortgaged,Others,Kiosk,Web,CC:0|SAV:0|PAY:0,0.8,38063,4.5,33,0,1,38,0.793,0,Current,52130,13344,0.256,0,A,0,37889,3,4,31,26864,0
APP0000033,0,1,0,0,M,Married,Contractual,BPO,Mortgaged,Others,Agent,Android,CC:1|SAV:1|PAY:0,6.3,84584,2.1,23,2,1,31,0.71,0,Current,89886,60833,0.677,0,B,0,15908,4,5,18,47846,0
APP0000034,0,0,1,0,F,Married,Contractual,Retail,Rented,Others,Branch,iOS,CC:0|SAV:1|PAY:0,1.3,42136,1.5,33,0,0,68,0.744,0,Current,106122,6135,0.058,0,A,0,17690,5,2,38,22226,0
APP0000035,0,1,1,0,F,Single,Self-Employed,Construction,Rented,Cebu,Online,Android,CC:0|SAV:0|PAY:1,0.7,82939,3.0,41,1,1,85,0.883,0,Current,120879,41896,0.347,0,A,0,13817,4,7,54,71195,0
APP0000036,0,1,0,0,F,Single,Salaried,Education,Rented,NCR,MobileApp,iOS,CC:0|SAV:0|PAY:0,11.3,62623,5.9,30,0,0,81,0.906,0,Current,136459,70408,0.516,0,A,1,19494,7,2,40,60813,0
APP0000037,0,1,1,0,M,Married,Contractual,Manufacturing,Owned,NCR,Online,iOS,CC:1|SAV:1|PAY:0,2.2,45036,0.6,42,3,1,27,0.945,0,Current,436865,207917,0.476,0,B,2,21244,4,4,19,227178,0
APP0000038,0,1,1,0,M,Separated,Salaried,Healthcare,Family,NCR,MobileApp,Android,CC:0|SAV:1|PAY:0,4.1,63179,4.9,39,0,0,39,0.954,0,Current,46719,9943,0.213,0,A,0,145864,4,2,20,19931,0
APP0000039,0,1,1,0,F,Married,Salaried,Government,Rented,Others,Agent,Android,CC:1|SAV:1|PAY:1,6.6,24378,2.0,37,2,3,35,0.964,0,Current,169064,115703,0.684,0,B,0,15625,4,1,22,56789,0
APP0000040,0,1,1,0,M,Married,Salaried,IT,Family,CALABARZON,Agent,Unknown,CC:0|SAV:1|PAY:0,4.6,43446,2.1,30,0,0,43,0.766,0,Current,185774,86927,0.468,0,B,1,34298,3,2,22,59161,0
APP0000041,0,1,1,0,M,Married,Unemployed,,Owned,Others,Branch,Web,CC:0|SAV:0|PAY:0,3.3,12622,2.7,27,1,1,76,0.918,0,Current,147198,13652,0.093,0,A,0,36463,6,4,44,33557,0
APP0000042,1,0,1,1,M,Married,Salaried,Retail,Mortgaged,CALABARZON,Branch,Web,CC:0|SAV:0|PAY:0,1.9,24825,12.7,42,2,1,100,0.954,0,Current,74256,47076,0.634,0,A,0,35593,5,5,52,30965,0
APP0000043,0,1,1,0,M,Single,Salaried,BPO,Family,Cebu,Online,Android,CC:1|SAV:1|PAY:0,10.0,69906,5.4,25,3,3,59,0.917,0,Current,266376,124129,0.466,0,A,1,110723,4,4,29,68575,0
APP0000044,1,1,1,1,F,Married,Salaried,Healthcare,Owned,NCR,Online,Android,CC:0|SAV:1|PAY:1,0.6,73967,3.9,31,1,1,31,0.587,0,Current,26059,4570,0.175,0,C,2,12672,5,1,23,11127,0
APP0000045,0,1,1,0,M,Married,Self-Employed,Retail,Rented,NCR,Agent,iOS,CC:1|SAV:0|PAY:1,8.6,17236,4.4,36,2,1,47,0.797,0,Current,69026,33463,0.485,0,B,2,14243,6,1,28,31059,0
APP0000046,0,1,1,0,F,Married,Salaried,BPO,Rented,CALABARZON,Agent,Android,CC:0|SAV:0|PAY:0,4.9,53566,2.0,52,2,1,110,0.792,0,Current,243279,83571,0.344,0,A,2,18341,7,3,59,91675,0
APP0000047,0,1,1,0,M,Single,Salaried,Manufacturing,Rented,Central Luzon,Branch,Web,CC:0|SAV:0|PAY:1,3.4,42084,2.0,39,1,0,51,0.835,0,Current,83904,42736,0.509,0,C,3,106443,6,3,24,22027,0
APP0000048,0,1,1,0,F,Single,Salaried,Services,Owned,NCR,Agent,Android,CC:0|SAV:1|PAY:0,1.6,37013,6.7,29,1,1,40,0.908,0,Current,236713,43214,0.183,0,A,1,45177,3,3,25,88314,0
APP0000049,0,1,1,0,F,Single,Self-Employed,Construction,Owned,Davao,Online,Web,CC:0|SAV:1|PAY:1,0.6,25689,3.3,34,2,1,42,0.955,0,Current,35203,14309,0.406,0,A,0,106534,2,1,28,19413,0
APP0000050,0,1,1,0,M,Single,Student,,Family,CALABARZON,Branch,Web,CC:0|SAV:1|PAY:0,2.3,17633,0.9,32,1,0,59,0.831,0,Current,54538,13075,0.24,0,A,0,7055,6,4,31,20900,0
APP0000051,0,1,1,0,F,Single,Contractual,Transport,Rented,Others,Online,Android,CC:0|SAV:1|PAY:0,6.1,42020,6.7,36,2,1,28,0.842,0,Current,72975,5041,0.069,0,A,0,41156,6,6,14,24599,0
APP0000052,0,1,1,0,F,Married,Salaried,Government,Owned,NCR,MobileApp,Unknown,CC:0|SAV:1|PAY:0,5.5,37235,2.9,41,1,0,35,0.465,60,Delinquent,130674,25230,0.193,8186,D,0,37208,6,2,22,59052,1
APP0000053,0,1,1,0,F,Single,Unemployed,,Owned,Cebu,Branch,Web,CC:1|SAV:1|PAY:1,4.1,24687,0.8,29,1,0,80,0.956,0,Current,92814,21712,0.234,0,A,1,9857,5,3,47,41538,0
APP0000054,1,1,1,0,F,Single,Salaried,Services,Company-Provided,NCR,Branch,Web,CC:1|SAV:0|PAY:0,19.6,69161,5.0,35,0,1,58,0.971,0,Current,69932,22561,0.323,0,A,1,42371,3,4,37,16521,0
APP0000055,0,1,0,0,F,Single,Salaried,BPO,Owned,Davao,Branch,Unknown,CC:1|SAV:1|PAY:1,14.4,23317,6.8,41,1,1,51,0.565,15,Delinquent,217320,22349,0.103,2028,A,0,37979,3,2,27,64022,0
APP0000056,0,1,1,1,F,Married,Salaried,Retail,Rented,CALABARZON,Branch,Android,CC:0|SAV:0|PAY:0,2.0,69096,7.0,25,1,1,82,0.366,90,Delinquent,242727,17151,0.071,6655,D,0,17125,3,5,38,96548,1
APP0000057,1,1,1,0,M,Single,Salaried,BPO,Mortgaged,Cebu,Online,iOS,CC:0|SAV:1|PAY:0,0.9,35073,0.6,33,2,2,30,0.734,15,Delinquent,72545,2328,0.032,1862,C,1,44732,4,2,18,25139,0
APP0000058,0,1,1,0,M,Single,Self-Employed,Healthcare,Family,Others,Branch,Web,CC:0|SAV:1|PAY:0,2.5,52462,7.2,31,4,2,39,0.246,60,Delinquent,36740,27597,0.751,10033,D,0,12542,6,6,22,12050,1
APP0000059,0,1,1,0,M,Married,Salaried,IT,Rented,NCR,Agent,Android,CC:0|SAV:0|PAY:1,7.4,113216,9.0,34,1,1,57,0.837,0,Current,26790,4125,0.154,0,B,1,51690,4,4,33,10134,0
APP0000060,0,0,1,0,M,Single,Salaried,Services,Rented,NCR,Branch,Web,CC:0|SAV:1|PAY:0,2.5,48076,3.0,21,2,0,56,0.866,0,Current,117345,51350,0.438,0,B,2,80318,5,2,31,37096,0
APP0000061,0,1,1,0,M,Separated,Salaried,Healthcare,Owned,Davao,Online,Unknown,CC:1|SAV:1|PAY:0,1.6,85622,10.8,29,2,2,17,0.845,0,Current,140106,38862,0.277,0,A,0,14984,5,1,11,47494,0
APP0000062,0,1,1,0,M,Married,Salaried,BPO,Family,Central Luzon,Branch,Unknown,CC:0|SAV:1|PAY:0,5.4,48104,3.0,21,1,3,37,0.391,15,Delinquent,97881,29320,0.3,8153,C,1,59164,4,2,27,49866,0
APP0000063,0,1,0,0,F,Single,Salaried,IT,Rented,NCR,MobileApp,Android,CC:0|SAV:0|PAY:0,4.2,82181,8.0,26,1,0,43,0.826,0,Current,102751,18329,0.178,0,A,1,11133,7,5,26,41521,0
APP0000064,1,0,1,0,M,Single,Salaried,Services,Family,CALABARZON,Online,Android,CC:0|SAV:1|PAY:0,13.9,47837,3.5,35,2,0,61,0.895,0,Current,68356,18570,0.272,0,A,0,29226,7,1,35,37537,0
APP0000065,0,1,1,0,M,Married,Salaried,Transport,Rented,NCR,Agent,Android,CC:0|SAV:1|PAY:0,3.2,43433,4.3,37,2,1,56,0.937,0,Current,144563,27613,0.191,0,A,2,36089,4,2,24,83763,0
APP0000066,0,1,0,0,F,Single,Self-Employed,Services,Rented,NCR,Agent,Android,CC:1|SAV:1|PAY:0,13.7,56987,5.1,31,1,0,46,0.515,15,Delinquent,262300,64015,0.244,4802,B,1,24136,4,2,17,149204,0
APP0000067,0,1,1,0,M,Single,Self-Employed,Retail,Owned,CALABARZON,Agent,Android,CC:0|SAV:1|PAY:0,1.4,32593,2.4,21,0,0,11,0.646,30,Delinquent,23717,6575,0.277,5260,D,2,26893,4,2,5,7150,1
APP0000068,0,0,1,0,F,Single,Self-Employed,Manufacturing,Rented,Others,Agent,Web,CC:0|SAV:1|PAY:1,8.0,42760,7.5,30,2,1,47,0.903,0,Current,91644,53438,0.583,0,B,1,97936,4,3,25,35664,0
APP0000069,0,1,1,0,M,Married,Salaried,Services,Mortgaged,CALABARZON,Branch,iOS,CC:1|SAV:1|PAY:0,1.7,64535,5.5,25,0,0,50,0.803,0,Current,51682,40767,0.789,0,C,2,5755,3,1,31,21397,0
APP0000070,0,1,0,0,F,Single,Contractual,Services,Mortgaged,Central Luzon,Agent,Web,CC:0|SAV:1|PAY:1,6.6,60753,10.1,32,2,3,163,0.908,0,Current,57495,4845,0.084,0,A,0,79880,9,5,70,31098,0
APP0000071,0,1,1,0,F,Married,Unemployed,,Owned,Others,Branch,Web,CC:1|SAV:1|PAY:1,10.4,11384,3.5,35,1,0,43,0.97,0,Current,52411,15241,0.291,0,A,0,10781,6,3,32,22202,0
APP0000072,1,1,1,0,M,Married,Contractual,Services,Owned,NCR,Agent,Web,CC:1|SAV:1|PAY:0,3.9,90475,1.7,22,2,1,57,0.895,0,Current,127887,53936,0.422,0,A,0,88885,5,2,32,38505,0
APP0000073,0,1,1,0,M,Single,Self-Employed,Services,Owned,Cebu,MobileApp,iOS,CC:0|SAV:1|PAY:0,5.2,121632,2.3,31,0,1,90,0.636,15,Delinquent,132034,57968,0.439,13726,B,1,62786,4,5,52,55324,0
APP0000074,0,1,1,0,F,Single,Salaried,Transport,Owned,Others,MobileApp,Android,CC:0|SAV:1|PAY:1,12.7,32336,2.1,21,0,1,74,0.652,30,Delinquent,241957,27402,0.113,10648,C,0,35547,4,5,36,52677,1
APP0000075,0,1,1,0,F,Separated,Student,,Family,NCR,Branch,Web,CC:1|SAV:1|PAY:0,1.9,13974,4.6,33,3,3,102,0.979,0,Current,115068,24925,0.217,0,A,1,72456,6,4,54,61407,0
APP0000076,0,1,1,0,F,Single,Salaried,Manufacturing,Mortgaged,CALABARZON,Branch,Web,CC:1|SAV:1|PAY:0,2.9,48353,8.5,33,1,2,17,0.882,0,Current,30281,8853,0.292,0,B,0,19284,3,3,14,12912,0
APP0000077,1,1,1,0,F,Married,Salaried,Government,Rented,Others,Branch,Android,CC:1|SAV:1|PAY:1,9.1,76204,5.0,23,3,1,24,0.913,0,Current,76400,14811,0.194,0,A,0,39410,3,0,20,35196,0
APP0000078,0,0,1,0,M,Single,Salaried,Services,Owned,Others,Branch,Unknown,CC:1|SAV:1|PAY:0,4.5,63441,1.1,23,2,0,33,0.975,0,Current,42414,14590,0.344,0,B,2,31945,5,2,20,11892,0
APP0000079,0,1,1,0,M,Single,Salaried,Education,Rented,NCR,Branch,Web,CC:0|SAV:1|PAY:1,8.3,42711,18.2,47,1,1,15,0.895,0,Current,43818,27830,0.635,0,C,1,38758,4,4,15,18546,0
APP0000080,0,1,0,0,M,Single,Student,,Rented,NCR,Online,Web,CC:0|SAV:1|PAY:0,3.9,9716,0.3,37,3,2,50,0.866,0,Current,148154,100493,0.678,0,B,1,56382,6,2,33,61077,0
APP0000081,0,1,1,0,F,Single,Salaried,Education,Company-Provided,NCR,MobileApp,Android,CC:0|SAV:1|PAY:1,5.4,20323,1.4,29,0,0,26,0.821,0,Current,99406,48212,0.485,0,B,1,47145,3,1,15,44519,0
APP0000082,0,1,1,0,F,Single,Salaried,Services,Family,CALABARZON,Online,iOS,CC:1|SAV:1|PAY:0,0.1,55749,6.2,32,3,1,109,0.916,0,Current,164738,64751,0.393,0,A,0,20491,6,8,56,88789,0
APP0000083,0,1,1,0,M,Married,Self-Employed,Government,Rented,CALABARZON,Online,Web,CC:0|SAV:1|PAY:0,1.7,110099,3.5,25,3,0,28,0.762,15,Delinquent,77896,16518,0.212,7420,C,2,37527,5,5,11,39401,0
APP0000084,0,1,1,0,M,Single,Salaried,Manufacturing,Family,Central Luzon,Online,iOS,CC:0|SAV:1|PAY:0,5.9,49105,2.2,36,1,1,39,0.943,0,Current,158351,32735,0.207,0,A,0,24657,5,4,26,66309,0
APP0000085,0,1,1,0,M,Single,Salaried,Education,Owned,Others,Agent,Unknown,CC:0|SAV:1|PAY:0,2.1,59091,1.4,33,2,3,76,0.547,30,Delinquent,88749,35117,0.396,19887,C,1,19723,7,5,48,49465,1
APP0000086,0,1,1,0,M,Single,Salaried,BPO,Rented,NCR,MobileApp,iOS,CC:0|SAV:0|PAY:1,1.8,59290,2.3,39,0,0,20,0.931,0,Current,178359,55576,0.312,0,A,0,55879,4,0,10,61243,0
APP0000087,0,0,1,0,F,Married,Self-Employed,Manufacturing,Owned,Others,Online,Android,CC:0|SAV:1|PAY:1,12.1,25792,2.3,42,1,0,15,0.79,0,Current,120416,58754,0.488,0,C,3,97650,6,1,12,47808,0
APP0000088,0,1,0,0,F,Single,Salaried,Retail,Mortgaged,NCR,Branch,Web,CC:0|SAV:1|PAY:0,3.2,99414,5.5,44,1,0,54,0.951,0,Current,89456,13718,0.153,0,A,1,162157,5,2,34,41130,0
APP0000089,0,1,1,0,F,Married,Self-Employed,Manufacturing,Owned,NCR,Online,iOS,CC:0|SAV:1|PAY:0,0.9,37825,7.8,40,1,0,56,0.943,0,Current,120064,17699,0.147,0,A,1,18610,6,3,31,45181,0
APP0000090,0,1,1,0,M,Single,Salaried,Retail,Rented,CALABARZON,MobileApp,Web,CC:1|SAV:1|PAY:1,2.6,34202,2.4,32,1,2,75,0.966,0,Current,104004,25380,0.244,0,A,1,65989,5,3,40,35836,0
APP0000091,0,1,0,0,M,Single,Salaried,Construction,Rented,NCR,Online,Android,CC:1|SAV:1|PAY:1,2.9,60470,4.2,24,0,0,65,0.412,30,Delinquent,269150,160307,0.596,2642,C,1,40420,5,0,34,65930,1
APP0000092,0,1,1,0,F,Single,Salaried,BPO,Rented,CALABARZON,Online,iOS,CC:0|SAV:1|PAY:0,17.9,39028,4.2,32,2,0,57,0.944,0,Current,122711,8325,0.068,0,A,2,29006,6,4,30,55755,0
APP0000093,0,1,1,0,F,Married,Salaried,Retail,Rented,Others,Branch,Android,CC:0|SAV:1|PAY:1,5.1,27268,5.2,34,0,0,31,0.76,0,Current,100866,56778,0.563,0,B,1,57184,6,3,20,27944,0
APP0000094,0,0,1,0,F,Single,Contractual,Services,Owned,NCR,Branch,Web,CC:0|SAV:1|PAY:0,2.9,64410,3.5,37,0,0,55,0.817,0,Current,87940,12999,0.148,0,B,2,36526,5,6,31,22451,0
APP0000095,0,1,1,0,F,Single,Contractual,Services,Rented,Cebu,Kiosk,Android,CC:0|SAV:1|PAY:0,2.3,44137,5.6,30,1,0,57,0.688,0,Current,162136,56887,0.351,0,A,0,25336,4,2,27,44241,0
APP0000096,0,1,1,0,M,Single,Salaried,Services,Family,NCR,Branch,Web,CC:0|SAV:1|PAY:1,9.9,75487,2.9,25,1,2,30,0.751,0,Current,148177,72434,0.489,0,B,2,33726,5,1,19,70442,0
APP0000097,0,1,1,0,F,Married,Salaried,IT,Family,NCR,Branch,Web,CC:0|SAV:1|PAY:0,4.2,45694,12.0,36,1,0,126,0.743,0,Current,93224,45031,0.483,0,A,0,16443,4,1,69,23804,0
APP0000098,0,1,1,0,M,Single,Self-Employed,Services,Rented,Central Luzon,Online,Android,CC:0|SAV:1|PAY:1,1.8,43944,2.7,52,1,0,63,0.871,0,Current,47337,21006,0.444,0,B,1,75193,3,3,33,27952,0
APP0000099,0,1,1,0,M,Single,Salaried,Government,Rented,Others,MobileApp,Android,CC:0|SAV:1|PAY:1,2.5,49430,4.6,45,0,0,25,0.815,0,Current,55868,28935,0.518,0,B,0,30103,5,4,12,28125,0
APP0000100,0,1,1,0,M,Single,Salaried,Retail,Rented,CALABARZON,Branch,Web,CC:0|SAV:0|PAY:0,1.3,57422,3.8,43,1,1,75,0.99,0,Current,94128,33138,0.352,0,A,0,46745,5,3,39,33613,0
APP0000101,0,1,1,0,M,Single,Student,,Owned,Central Luzon,Agent,Web,CC:1|SAV:0|PAY:0,12.9,12852,5.0,31,1,1,82,0.917,0,Current,248596,172267,0.693,0,A,0,82977,6,7,40,108714,0
APP0000102,0,1,1,0,F,Married,Salaried,Services,Owned,Others,Branch,Android,CC:1|SAV:1|PAY:0,4.8,34798,8.8,28,0,2,61,0.859,0,Current,88270,8795,0.1,0,A,2,18715,5,3,28,17923,0
APP0000103,0,1,1,0,M,Married,Student,,Owned,Davao,Kiosk,Web,CC:0|SAV:1|PAY:0,2.0,25803,22.0,40,1,0,41,0.859,0,Current,69250,13371,0.193,0,A,1,178303,5,3,25,37244,0
APP0000104,0,0,0,0,M,Single,Salaried,Construction,Owned,NCR,MobileApp,Android,CC:1|SAV:0|PAY:0,0.8,56968,2.7,43,2,1,29,0.49,90,Delinquent,30937,9491,0.307,3093,E,1,33154,3,1,16,9544,1
APP0000105,0,1,1,0,F,Single,Self-Employed,BPO,Rented,Cebu,Branch,Unknown,CC:0|SAV:0|PAY:0,0.8,67122,3.2,32,2,1,46,0.753,0,Current,247528,21519,0.087,0,A,1,42167,5,3,24,56623,0
APP0000106,1,1,1,0,M,Single,Salaried,Retail,Company-Provided,CALABARZON,Branch,iOS,CC:0|SAV:1|PAY:0,2.6,20156,1.5,30,3,1,59,0.929,0,Current,149540,47837,0.32,0,A,1,53818,6,0,33,75256,0
APP0000107,0,1,1,0,M,Single,Salaried,Government,Mortgaged,Davao,Branch,Unknown,CC:1|SAV:1|PAY:1,2.5,49550,6.0,30,0,0,48,0.499,30,Delinquent,167986,22192,0.132,8622,C,0,14378,6,4,21,55743,1
APP0000108,0,1,1,0,F,Single,Salaried,BPO,Rented,CALABARZON,Agent,Android,CC:1|SAV:1|PAY:0,2.2,63754,1.6,36,1,2,105,0.96,0,Current,220600,31356,0.142,0,A,0,15333,8,5,46,94200,0
APP0000109,0,1,1,0,M,Married,Salaried,Retail,Rented,NCR,Branch,iOS,CC:1|SAV:1|PAY:0,7.6,42446,11.2,34,2,1,69,0.839,0,Current,94238,3007,0.032,0,A,2,29277,5,5,40,50664,0
APP0000110,0,1,0,0,M,Separated,Salaried,BPO,Owned,Central Luzon,Branch,Android,CC:1|SAV:0|PAY:0,15.5,69519,16.0,34,2,1,27,0.613,90,Delinquent,97311,64152,0.659,1202,E,2,38147,4,1,10,49665,1
APP0000111,0,1,1,0,M,Separated,Salaried,Construction,Owned,CALABARZON,Branch,Web,CC:0|SAV:1|PAY:0,1.8,35891,7.5,43,1,1,23,0.292,60,Delinquent,205550,50999,0.248,6955,D,1,17593,2,3,12,68805,1
APP0000112,0,1,1,0,M,Married,Salaried,Manufacturing,Rented,CALABARZON,Branch,Web,CC:1|SAV:1|PAY:0,1.4,57195,5.8,40,0,1,64,0.865,0,Current,110251,57792,0.524,0,A,0,10258,4,4,28,60360,0
